2,0.10448833
3,0.167235189
4,0.208168761
5,0.231867145
6,0.242100539
7,0.24021544
8,0.228904847
9,0.211131059
10,0.187971275
11,0.162118492
12,0.137073609
13,0.112567325
14,0.092639138
15,0.077019749
16,0.065709156
17,0.057091562
18,0.051436266
19,0.048473968
20,0.047127469
21,0.047666068
22,0.049281867
23,0.051705566
24,0.054398564
25,0.057091562
26,0.059245961
27,0.060861759
28,0.061938959
29,0.062746858
30,0.063016158
31,0.062746858
32,0.062208259
33,0.061400359
34,0.06032316
35,0.059245961
36,0.057899461
37,0.056283662
38,0.054667864
39,0.053052065
40,0.051166966
