0,0.0
1,0.0
2,0.013831522
3,0.018152174
4,0.021331522
5,0.023396739
6,0.024592391
7,0.025108696
8,0.024972826
9,0.024375
10,0.023423913
11,0.022336957
12,0.021168478
13,0.020108696
14,0.019266304
15,0.018641304
16,0.018206522
17,0.017961957
18,0.017826087
19,0.017798913
20,0.017853261
21,0.017934783
22,0.018043478
23,0.018125
24,0.018179348
25,0.018152174
26,0.018016304
27,0.017798913
28,0.0175
29,0.017146739
30,0.016766304
31,0.016413043
32,0.016032609
33,0.015706522
34,0.015407609
35,0.015163043
36,0.015081522
37,0.015081522
38,0.015217391
39,0.015461957
40,0.015788043
